電子零組件
1471 首利	1582 信錦	2059 川湖	2308 台達電	2313 華通
2316 楠梓電	2327 國巨	2328 廣宇	2355 敬鵬	2367 燿華
2368 金像電	2375 智寶	2383 台光電	2385 群光	2392 正崴
2402 毅嘉	2413 環科	2415 錩新	2420 新巨	2421 建準
2428 興勤	2429 銘旺科	2431 聯昌	2440 太空梭	2443 新利虹
2456 奇力新	2457 飛宏	2460 建通	2462 良得	2467 志聖
2472 立隆	2476 鉅祥	2478 大毅	2483 百容	2484 希華
2492 華新科	2493 揚博	3003 健和興	3011 今皓	3015 全漢
3021 鴻名	3023 信邦	3026 禾伸堂	3032 偉訓	3037 欣興
3042 晶技	3044 健鼎	3058 立德	3090 日電貿	3229 晟鈦
3296 勝德	3308 聯德	3321 同泰	3338 泰碩	3376 新日興
3432 台端	3501 維熹	3533 嘉澤	3550 聯穎	3593 力銘
3605 宏致	3607 谷崧	3645 達邁	3653 健策	3679 新至陞
4545 銘鈺	4912 聯德控股-KY	4915 致伸	4927 泰鼎-KY	4943 康控-KY
4958 臻鼎-KY	4999 鑫禾	5469 瀚宇博	6108 競國	6115 鎰勝
6133 金橋	6141 柏承	6153 嘉聯益	6155 鈞寶	6165 捷泰
6191 精成科	6197 佳必琪	6205 詮欣	6213 聯茂	6224 聚鼎
6251 定穎	6269 台郡	6282 康舒	6412 群電	6422 君耀-KY
6449 鈺邦	8039 台虹	8046 南電	8103 瀚荃	8213 志超
8249 菱光
2347 聯強	2414 精技	2430 燦坤	2459 敦吉	3010 華立
3028 增你強	3033 威健	3036 文曄	3048 益登	3055 蔚華科
3209 全科	3312 弘憶股	3528 安馳	3702 大聯大	5434 崇越
6145 勁永	6189 豐藝	6281 全國電	8070 長華	8112 至上
2427 三商電	2453 凌群	2468 華經	2471 資通	2480 敦陽
3029 零壹	3130 一零四	4994 傳奇	5203 訊連	6112 聚碩
6183 關貿	6214 精誠
2312 金寶	2317 鴻海	2354 鴻準	2359 所羅門	2360 致茂
2373 震旦行	2390 云辰	2404 漢唐	2423 固緯	2433 互盛電
2461 光群雷	2464 盟立	2474 可成	2477 美隆電	2482 連宇
2488 漢平	2495 普安	2497 怡利電	3018 同開	3030 德律
3043 科風	3305 昇貿	3450 聯鈞	3518 柏騰	3617 碩天
3665 貿聯-KY	5225 東科-KY	6139 亞翔	6192 巨路	6196 帆宣
6201 亞弘電	6215 和椿	6409 旭隼	8021 尖點	8201 無敵
